threshold,window,ctrlset,restriction,outcome,fespec,b,se,p,N,households,clusters,meandv,treated_hh,treated_counties,control_hh,control_counties
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_abandon,hh_year,.0052306993001675,.054919772,.92430198,1706,853,107,.2240201412626081,113,15,740,92
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_land_total,hh_provyear,-.2236455927899172,.5125615,.66348523,1584,792,107,2.126464225455491,104,15,688,92
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_land_total,hh_year,-.4071922363407791,.40513489,.3171058,1588,794,109,2.128322404953047,105,16,689,93
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_rentin,hh_provyear,-.0694279915698291,.098694563,.48333907,1704,852,105,.2716895658600872,111,14,741,91
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_rentin,hh_year,-.1000840283069974,.082892045,.2299646,1708,854,107,.2759325623007823,112,15,742,92
completed_t,w14_16_c2018,never_only,full,any_abandon,hh_provyear,-.071720845646738,.10774948,.5070067,1846,923,114,.1500541711809318,112,14,811,100
completed_t,w14_16_c2018,never_only,full,any_abandon,hh_year,-.0425585247831199,.053697269,.42966387,1850,925,116,.1502702702702703,113,15,812,101
completed_t,w14_16_c2018,never_only,full,any_rentin,hh_provyear,-.0585126751933829,.058502201,.31936085,1842,921,114,.1335504885993485,111,14,810,100
completed_t,w14_16_c2018,never_only,full,any_rentin,hh_year,-.0631385414831807,.043349586,.14798018,1846,923,116,.1343445287107259,112,15,811,101
completed_t,w14_16_c2018,never_only,full,asinh_abandon,hh_provyear,.0071192513573472,.12500477,.95468414,1836,918,114,.2183574522513438,112,14,806,100
completed_t,w14_16_c2018,never_only,full,asinh_abandon,hh_year,.0060577852740699,.053620733,.91024762,1840,920,116,.2195122311324811,113,15,807,101
completed_t,w14_16_c2018,never_only,full,asinh_land_total,hh_provyear,-.2236455927899173,.51247519,.66336274,1710,855,116,2.104592131053085,104,15,751,101
completed_t,w14_16_c2018,never_only,full,asinh_land_total,hh_year,-.396923922117345,.40457109,.32856876,1714,857,118,2.106364754985249,105,16,752,102
completed_t,w14_16_c2018,never_only,full,asinh_rentin,hh_provyear,-.0694279915698292,.09867765,.48313928,1836,918,114,.2650283065614634,111,14,807,100
