bundle,outcome,stress,N,clusters,n_exog,n_instruments,iv_b,iv_se,iv_p,first_stage_f,partial_r2,ar_zero_p,sargan_p,wooldridge_overid_p
survey_net_distance,any_rentin,channel_labor_cost_main,2532.0,128.0,14.0,1.0,0.2971396101568503,0.1543709837706877,0.0542492437145738,9.229679746549117,0.2539560369661151,0.0090370225032013,,
survey_net_distance,asinh_rentin,channel_labor_cost_main,2526.0,128.0,14.0,1.0,0.5800487532272031,0.2414119458928439,0.016273007997354,9.20415730609715,0.2539523984946036,0.0016757564884849,,
survey_net_distance,any_rentin,channel_rent_main,2532.0,128.0,13.0,1.0,0.1494121528030644,0.1139064405849058,0.1896181921602884,9.17105990476029,0.2528058321777724,0.1519544644144836,,
survey_net_distance,asinh_rentin,channel_rent_main,2526.0,128.0,13.0,1.0,0.4003603249336218,0.2401706732814753,0.0955178718062197,9.172178429863097,0.2528355572842728,0.0568745061929311,,
survey_net_distance,any_rentin,direct_geo_dev_main_trends,2532.0,128.0,14.0,1.0,0.2585268925047769,0.1337767166175057,0.0532946995868734,9.464665631656898,0.2829194301971832,0.0247729042420976,,
survey_net_distance,asinh_rentin,direct_geo_dev_main_trends,2526.0,128.0,14.0,1.0,0.4905581699680048,0.2473820760842345,0.047367649392495,9.467534883083326,0.2830783182425115,0.0284491649433278,,
survey_net_distance,any_rentin,direct_geo_main_trends,2532.0,128.0,13.0,1.0,0.258313581419872,0.1331973171065793,0.0524611421638778,9.44236233138454,0.2830289420175743,0.0242759315149648,,
survey_net_distance,asinh_rentin,direct_geo_main_trends,2526.0,128.0,13.0,1.0,0.4879460204075347,0.2418948982899359,0.0436765299664119,9.445259227060577,0.2831921706632332,0.0241745867282336,,
survey_net_distance,any_rentin,direct_geo_trends_plus_Z,2532.0,128.0,17.0,1.0,0.0796835832760029,0.1077558106769043,0.4596137975557524,14.992736730093288,0.3365407831845507,0.4811028982468036,,
survey_net_distance,asinh_rentin,direct_geo_trends_plus_Z,2526.0,128.0,17.0,1.0,0.1641038441100272,0.2107783445343105,0.4362382333278241,15.026815514164754,0.3369309884004423,0.4601301853858254,,
survey_net_distance,any_rentin,geo_dev_main_plus_gov_mobility,2532.0,128.0,17.0,1.0,0.2469605967886259,0.1334143324237939,0.0641580510117523,10.45849436514359,0.3001522778337336,0.0395466429101262,,
survey_net_distance,asinh_rentin,geo_dev_main_plus_gov_mobility,2526.0,128.0,17.0,1.0,0.4948544094971512,0.2480012463697434,0.0460024689832445,10.460993489329166,0.300325401174114,0.0242653353282679,,
survey_net_distance,any_rentin,geo_dev_main_plus_labor_cost,2532.0,128.0,18.0,1.0,0.2631066927895408,0.1370428416246121,0.0548722455918391,9.485072709948431,0.2833196213989385,0.0219168380978586,,
survey_net_distance,asinh_rentin,geo_dev_main_plus_labor_cost,2526.0,128.0,18.0,1.0,1.294980764389038,369354634.7072855,0.9999999972025662,9.540128848189193,0.2834143488134149,0.0316574162939478,,
survey_net_distance,any_rentin,geo_dev_main_plus_rent,2532.0,128.0,17.0,1.0,0.1298663248618066,0.1216941060438054,0.2859024014740869,9.524694628182845,0.2825227180830041,0.2557447817644659,,
survey_net_distance,asinh_rentin,geo_dev_main_plus_rent,2526.0,128.0,17.0,1.0,0.3792348020004721,0.2569863253426156,0.1400243605942677,9.527413248471792,0.2826857499684414,0.1022332906740381,,
survey_net_distance,any_rentin,lower_order_Z,2532.0,128.0,11.0,1.0,0.2035048060513237,0.125440641314458,0.1047349426344916,9.82218316366721,0.2738729971129503,0.0941076439347849,,
survey_net_distance,asinh_rentin,lower_order_Z,2526.0,128.0,11.0,1.0,0.2786210938259541,0.2089972594492976,0.182488239553219,9.819151732060842,0.2738283681795915,0.1861502067040029,,
